Metrica,Periodo,Ambito,Italiani,Stranieri
Arrivi,2022-01,Esercizi alberghieri,227564,66306
Arrivi,2022-01,Esercizi extralberghieri,37951,11549
Arrivi,2022-01,Totale,265515,77855
Arrivi,2022-02,Esercizi alberghieri,204692,97178
Arrivi,2022-02,Esercizi extralberghieri,30286,18369
Arrivi,2022-02,Totale,234978,115547
Arrivi,2022-03,Esercizi alberghieri,141905,77576
Arrivi,2022-03,Esercizi extralberghieri,22241,14537
Arrivi,2022-03,Totale,164146,92113
Arrivi,2022-04,Esercizi alberghieri,76489,68763
Arrivi,2022-04,Esercizi extralberghieri,26212,35195
Arrivi,2022-04,Totale,102701,103958
Arrivi,2022-05,Esercizi alberghieri,71379,81071
Arrivi,2022-05,Esercizi extralberghieri,26435,41115
Arrivi,2022-05,Totale,97814,122186
Arrivi,2022-06,Esercizi alberghieri,176153,133256
Arrivi,2022-06,Esercizi extralberghieri,65465,85994
Arrivi,2022-06,Totale,241618,219250
Arrivi,2022-07,Esercizi alberghieri,355983,157126
Arrivi,2022-07,Esercizi extralberghieri,125621,119901
Arrivi,2022-07,Totale,481604,277027
Arrivi,2022-08,Esercizi alberghieri,374184,120541
Arrivi,2022-08,Esercizi extralberghieri,134885,105191
Arrivi,2022-08,Totale,509069,225732
Arrivi,2022-09,Esercizi alberghieri,165551,138825
Arrivi,2022-09,Esercizi extralberghieri,49722,81885
Arrivi,2022-09,Totale,215273,220710
Arrivi,2022-10,Esercizi alberghieri,89896,71397
Arrivi,2022-10,Esercizi extralberghieri,32515,34078
Arrivi,2022-10,Totale,122411,105475
Arrivi,2022-11,Esercizi alberghieri,48064,16394
Arrivi,2022-11,Esercizi extralberghieri,14821,4487
Arrivi,2022-11,Totale,62885,20881
Arrivi,2022-12,Esercizi alberghieri,265527,66204
Arrivi,2022-12,Esercizi extralberghieri,61155,12367
Arrivi,2022-12,Totale,326682,78571
Presenze,2022-01,Esercizi alberghieri,833388,347925
Presenze,2022-01,Esercizi extralberghieri,179793,64265
Presenze,2022-01,Totale,1013181,412190
Presenze,2022-02,Esercizi alberghieri,669953,534992
Presenze,2022-02,Esercizi extralberghieri,109091,108033
Presenze,2022-02,Totale,779044,643025
Presenze,2022-03,Esercizi alberghieri,554323,476541
Presenze,2022-03,Esercizi extralberghieri,100073,92270
Presenze,2022-03,Totale,654396,568811
Presenze,2022-04,Esercizi alberghieri,171900,253484
Presenze,2022-04,Esercizi extralberghieri,91204,146857
Presenze,2022-04,Totale,263104,400341
Presenze,2022-05,Esercizi alberghieri,143517,255904
Presenze,2022-05,Esercizi extralberghieri,87750,163748
Presenze,2022-05,Totale,231267,419652
Presenze,2022-06,Esercizi alberghieri,540452,432775
Presenze,2022-06,Esercizi extralberghieri,230955,390822
Presenze,2022-06,Totale,771407,823597
Presenze,2022-07,Esercizi alberghieri,1561920,522813
Presenze,2022-07,Esercizi extralberghieri,579577,562674
Presenze,2022-07,Totale,2141497,1085487
Presenze,2022-08,Esercizi alberghieri,1951453,435704
Presenze,2022-08,Esercizi extralberghieri,772367,573251
Presenze,2022-08,Totale,2723820,1008955
Presenze,2022-09,Esercizi alberghieri,579848,466529
Presenze,2022-09,Esercizi extralberghieri,208953,342473
Presenze,2022-09,Totale,788801,809002
Presenze,2022-10,Esercizi alberghieri,195984,245446
Presenze,2022-10,Esercizi extralberghieri,105597,148571
Presenze,2022-10,Totale,301581,394017
Presenze,2022-11,Esercizi alberghieri,100525,51215
Presenze,2022-11,Esercizi extralberghieri,58409,25304
Presenze,2022-11,Totale,158934,76519
Presenze,2022-12,Esercizi alberghieri,759604,292803
Presenze,2022-12,Esercizi extralberghieri,188366,59238
Presenze,2022-12,Totale,947970,352041
